section_name	web_url	pub_date	snippet
World	https://www.nytimes.com/reuters/2018/07/03/world/americas/03reuters-brazil-corruption-batista.html	2018-07-03T17:30:54+0000	Eike Batista, the former mining and oil magnate who was once Brazil's richest man, was convicted and sentenced to 30 years in prison for bribing Rio de Janeiro state's disgraced ex-governor, according to a court document published on Tuesday.
World	https://www.nytimes.com/reuters/2018/07/03/world/africa/03reuters-congo-violence-un.html	2018-07-03T17:30:53+0000	Rebels and government troops in Congo have committed atrocities including mass rape, cannibalism and the dismemberment of civilians, according to testimony published on Tuesday by a team of U.N. human rights experts who said the world must pay hee...
World	https://www.nytimes.com/reuters/2018/07/03/world/europe/03reuters-eu-poland-court.html	2018-07-03T17:30:50+0000	Poland's Supreme Court chief Malgorzata Gersdorf plans to go to work as usual on Wednesday, a court spokesman said, after President Andrzej Duda announced the judge would retire as of July 4.
World	https://www.nytimes.com/reuters/2018/07/03/world/americas/03reuters-nigeria-kidnapping.html	2018-07-03T17:30:46+0000	Nigerian police said they have rescued the father of national soccer team captain John Obi Mikel after he was kidnapped for the second time in seven years.
World	https://www.nytimes.com/reuters/2018/07/03/world/03reuters-slovenia-politics.html	2018-07-03T17:30:45+0000	Slovenian President Borut Pahor will on Friday renew talks with parliamentary parties to find a candidate for prime minister who can win a majority after an initial effort proved unsuccessful.
World	https://www.nytimes.com/reuters/2018/07/03/world/asia/03reuters-usa-russia-pompeo.html	2018-07-03T17:27:55+0000	U.S. Secretary of State Mike Pompeo and Russian foreign Minister Sergei Lavrov, in a call on Tuesday, discussed the upcoming Trump-Putin meeting as well as Syria and North Korea, the U.S. State Department said in a statement. 
World	https://www.nytimes.com/reuters/2018/07/03/world/africa/03reuters-soccer-worldcup-refugee-soccer.html	2018-07-03T17:19:02+0000	Migrants from Africa and Asia staged their own version of the World Cup in Moscow on Tuesday, playing soccer matches in Red Square in an event held to highlight challenges faced by refugees in Russia.
World	https://www.nytimes.com/aponline/2018/07/03/world/africa/ap-af-sierra-leone-police.html	2018-07-03T17:18:02+0000	Amnesty International is calling on Sierra Leone's new government to end police crackdowns on peaceful protesters and improve human rights.
World	https://www.nytimes.com/aponline/2018/07/03/world/europe/ap-eu-albania-underwater-archaeology.html	2018-07-03T17:15:13+0000	Researchers are urging Albanian authorities to build a museum to display hundreds of Roman and Greek artifacts and ancient shipwrecks that are sitting under Albania's least explored coastline.
World	https://www.nytimes.com/aponline/2018/07/03/world/americas/ap-lt-mexico-elections-pri.html	2018-07-03T17:09:01+0000	The landslide victory by Andres Manuel Lopez Obrador in Mexico's presidential election brought an abrupt end to the monopoly on power enjoyed by the Institutional Revolutionary Party, a nearly century-long dominance that cultivated corruption alon...
World	https://www.nytimes.com/aponline/2018/07/03/world/europe/ap-eu-britain-sex-abuse-allegations.html	2018-07-03T16:54:03+0000	Prosecutors say a British man who alleged he was abused by a ring of politically powerful pedophiles has been charged with inventing the claims.
World	https://www.nytimes.com/aponline/2018/07/03/world/middleeast/ap-ml-syria.html	2018-07-03T16:33:03+0000	The Syrian government on Tuesday called on refugees to return, saying it has successfully cleared large areas of "terrorists."
World	https://www.nytimes.com/2018/07/03/world/middleeast/israel-penalizes-palestinians-for-payments-to-prisoners-and-martyrs.html	2018-07-03T16:29:07+0000	The Palestinian Authority pays families of people killed, hurt or jailed in conflict with Israel. Israel will withhold that amount from the authority.
World	https://www.nytimes.com/aponline/2018/07/03/world/africa/ap-af-south-africa-mistaken-for-dead.html	2018-07-03T16:27:09+0000	South African authorities say a severely injured person who was declared dead at the scene of a road accident and taken to a morgue turned out to be alive.
